sample	Basal	Her2	LumA	LumB	Normal	Call	Confidence	ROR-S (Subtype Only)	ROR-S Group (Subtype Only)	Proliferation Score	ROR-P (Subtype + Proliferation)	ROR-P Group (Subtype + Proliferation)	ER	Her2_1
GBX.DISC.PCA128	0.276830732292917	-0.12681872749099601	-0.153613445378151	-0.256374549819928	0.222088835534214	Basal	0.95	42.7684723445519	med	0.390808888448568	55.9083556774139	high	-1.21985641183898	-0.992118868212207
GBX.DISC.PCA129	0.165810324129652	-0.201344537815126	-0.0419207683073229	-0.0626650660264106	4.80192076830732e-5	Basal	0.75	39.7345518442483	med	-0.0777818950838577	36.5262587519828	med	0.419519190404286	-1.18554756423179
GBX.DISC.PCA13	0.1446818727491	-0.0913805522208884	-0.0194477791116447	-0.159567827130852	0.114429771908763	Basal	0.68	38.6907925310924	med	0.361294369152346	54.096189703202	high	-0.27547507787579	0.0667766819737087
GBX.DISC.PCA130	0.0363505402160864	-0.0201200480192077	-0.0407683073229292	-0.0168547418967587	-0.0377911164465786	Basal	0.2	42.4695768962644	med	-0.0306846792762137	40.1451236159303	med	1.04842074033642	-0.451765130375576
GBX.DISC.PCA131	-0.2	-0.110876350540216	0.217959183673469	0.0663145258103241	0.0919567827130852	LumA	0.87	30.6333009678413	med	-0.0844097761698971	34.8788303236927	med	-0.0588090950108827	-0.36898125043932
GBX.DISC.PCA132	-0.0185834333733493	0.110396158463385	-0.0639135654261705	-0.0134933973589436	-0.071500600240096	LumB	0.56	45.1274200940047	med	0.101248750292614	46.7469761684957	med	-0.875826424687026	-0.404782696266692
GBX.DISC.PCA133	0.0261704681872749	-0.0364465786314526	-0.0973349339735894	0.144777911164466	-0.179543817527011	LumB	0.69	47.2273246033472	med	0.628170787084365	67.8237307047099	high	-1.02570784745343	0.399915637930764
GBX.DISC.PCA134	0.0157983193277311	-0.0844657863145258	-0.0335654261704682	-0.133253301320528	0.0404801920768307	Basal	0.22	39.1790752838924	med	-0.237051009678059	30.6483752536569	med	-0.689327931553902	0.982112526869804
GBX.DISC.PCA135	0.0688115246098439	-0.00436974789915966	-0.0915726290516206	-0.282016806722689	0.211524609843938	Basal	0.86	40.533483170906	med	-0.283240858800256	29.2410789146009	med	-0.993394781738638	0.160608965386645
GBX.DISC.PCA136	-0.0665066026410564	0.0558463385354142	-0.0829291716686675	0.066218487394958	-0.0873469387755102	LumB	0.35	46.2111355239319	med	0.433164444510628	60.2020933836939	high	1.4352219452584	0.429888191833917
GBX.DISC.PCA137	0.131620648259304	0.0584393757503001	-0.289411764705882	0.0452821128451381	-0.128067226890756	Basal	0.64	55.439884447426	high	0.442166729575424	62.7499034729524	high	0.0720704137037705	-1.66118367065979
GBX.DISC.PCA138	-0.0535414165666266	0.00869147659063625	0.0121488595438175	0.031452581032413	-0.0888835534213686	LumB	0.17	41.0610693603559	med	0.451770137778445	59.2914257140638	high	-0.364465053420828	1.23475823405105
GBX.DISC.PCA139	0.0549819927971189	0.00312124849939976	0.0563265306122449	-0.0332773109243697	0.118655462184874	LumA	0.59	38.6032005526728	med	-0.350317173646717	26.4208016355136	med	-0.948687751357902	-0.0544332150862548
GBX.DISC.PCA14	-0.112797118847539	0.190396158463385	-0.103577430972389	0.215078031212485	-0.102136854741897	LumB	0.87	51.3003920879599	med	0.300085694134056	57.0985416422747	high	1.22080984688233	-0.58067220882665
GBX.DISC.PCA140	0.104825930372149	0.211332533013205	-0.147178871548619	-0.0366386554621849	0.0352941176470588	Basal	0.86	50.2837429556105	med	-0.0632620969218667	41.8016422523153	med	0.114846364763474	-1.61086275902156
GBX.DISC.PCA141	0.00571428571428571	0.0716926770708283	-0.120864345738295	0.226602641056423	-0.174261704681873	LumB	0.89	51.0556904690347	med	0.00616089986038813	44.673682207638	med	0.468123846677593	1.49745117944466
GBX.DISC.PCA142	0.247731092436975	0.322641056422569	-0.506170468187275	0.199807923169268	-0.476974789915966	Basal	0.98	71.4593749691688	high	0.915305739118775	87.0552971371281	high	-0.362421642778759	0.18844825813093
GBX.DISC.PCA143	-0.120288115246098	0.336950780312125	-0.157454981992797	0.0431692677070828	-0.166578631452581	LumB	0.98	52.7716469976414	med	0.171229069049325	52.7663428218868	med	0.884122032908345	-0.160669412204836
GBX.DISC.PCA144	-0.00955582232893157	0.105018007202881	0.0684273709483793	-6.24249699879952e-4	-0.0714045618247299	LumA	0.53	39.8224372795707	med	0.0940153764219457	45.0073836543699	med	-0.0463035779971585	0.960457819709978
GBX.DISC.PCA145	-0.149771908763505	0.0733253301320528	0.0609363745498199	0.0687154861944778	-0.0769747899159664	LumB	0.39	40.1330811904809	med	-0.219080414127668	32.7820167933666	med	0.656862836963687	0.988811574945011
GBX.DISC.PCA146	-0.0538295318127251	0.0497959183673469	-0.129123649459784	0.173205282112845	-0.191932773109244	LumB	0.77	49.889093915006	med	0.297481066799247	55.886098160619	high	0.140700776898454	-0.794883786328086
GBX.DISC.PCA147	-0.0853301320528211	-0.0554621848739496	-0.101848739495798	0.0283793517406963	-0.162737094837935	LumB	0.16	44.636895630704	med	0.430444670179784	59.181382075146	high	-0.203225380016805	0.0511438346654653
GBX.DISC.PCA148	-0.0588235294117647	0.0442256902761104	-0.0678511404561825	0.0940696278511405	-0.0727490996398559	LumB	0.49	45.9194256090954	med	0.341896925864122	56.4647980094239	high	0.876339954038131	-2.62228058291042
GBX.DISC.PCA149	0.0254021608643457	0.119423769507803	-0.207875150060024	0.110876350540216	-0.0956062424969988	LumB	0.59	53.5250720101123	high	0.0371335345082103	46.595898188186	med	-0.20482900917743	0.074453802590346
GBX.DISC.PCA15	-0.0482593037214886	0.146794717887155	-0.0349099639855942	-0.00600240096038415	0.0134933973589436	LumB	0.69	44.437244712831	med	-0.139089107671687	37.1940622397297	med	0.303476723305899	0.0457858222065542
GBX.DISC.PCA150	0.158031212484994	0.0587274909963986	-0.073421368547419	-0.227755102040816	0.0253061224489796	Basal	0.73	42.0557520986936	med	-0.0506719909197941	39.1190902027998	med	-0.283736154708507	0.760889700800995
GBX.DISC.PCA151	0.132004801920768	0.249555822328932	-0.25406962785114	-0.055078031212485	-0.00773109243697479	Basal	0.92	55.1016575096674	high	0.182673476251428	52.9938409208477	high	-0.804345719082131	-0.0700298790511665
GBX.DISC.PCA152	0.141128451380552	0.0727490996398559	-0.0567106842737095	0.0599759903961585	-0.0664105642256903	Basal	0.67	46.2962647442977	med	-0.223304652630061	33.8434901022181	med	0.0801352710832455	-0.267628068526476
GBX.DISC.PCA153	0.0652581032412965	0.125954381752701	-0.115486194477791	-0.014453781512605	-0.00600240096038415	Basal	0.62	47.892705694965	med	-0.275376116399973	32.4372088818193	med	-0.678739995379933	-1.18454371153915
GBX.DISC.PCA154	0.0656422569027611	0.0248259303721489	-0.0138775510204082	-0.130180072028812	0.0261704681872749	Basal	0.35	40.2641964659558	med	-0.227097918031414	31.7268904470461	med	-0.313367256962576	0.165482662750996
GBX.DISC.PCA155	-0.132388955582233	0.151692677070828	0.0657382953181272	0.0889795918367347	-0.140360144057623	LumB	0.71	41.50838417801	med	0.0591381383681027	44.5623041158782	med	-0.00792009816144489	0.911290989167578
GBX.DISC.PCA156	-0.123361344537815	0.0961824729891957	-0.0252100840336134	0.216998799519808	-0.0460504201680672	LumB	0.87	46.6497443061366	med	-0.011608008975777	43.0530896812027	med	-0.590190256834746	-1.20193704891551
GBX.DISC.PCA157	0.254453781512605	0.0827370948379352	-0.272701080432173	-0.0145498199279712	-0.0958943577430972	Basal	0.93	54.7114736558718	high	0.313626231805599	57.2808159071703	high	0.519384240155308	-0.4365360488483
GBX.DISC.PCA158	-0.0453781512605042	0.242448979591837	-0.144009603841537	0.0876350540216086	-0.22890756302521	LumB	0.91	51.9428077955512	med	0.367098773160164	59.8966074319558	high	1.62633543196004	0.339682165701609
GBX.DISC.PCA159	-0.142088835534214	-0.106170468187275	0.350300120048019	-0.229963985594238	0.327923169267707	LumA	0.99	20.5489335054304	low	-0.813569375303384	2.67055085895434	low	-1.69257404876943	0.927648823474223
GBX.DISC.PCA16	0.0349099639855942	0.440480192076831	-0.297767106842737	0.0871548619447779	-0.293541416566627	LumB	1	61.610782006412	high	0.0879473503075037	52.1019285270213	med	-0.608147465947523	0.141051828795476
GBX.DISC.PCA160	-0.327539015606243	-0.0975270108043217	0.332917166866747	-0.0134933973589436	0.122689075630252	LumA	0.98	24.097442018671	med	-0.234001954623992	27.2938111678738	med	0.52195455915989	0.820349208667465
GBX.DISC.PCA161	0.0854261704681873	0.0488355342136855	-0.0119567827130852	0.0272268907563025	-0.0490276110444178	Basal	0.45	43.266797285107	med	-0.361836116173312	27.4467010148826	med	0.953739677826823	0.868657421392092
GBX.DISC.PCA162	0.142857142857143	-0.0283793517406963	-0.0965666266506603	-0.0873469387755102	0.0987755102040816	Basal	0.68	44.0102882683991	med	-0.260557982090602	31.1268786949924	med	1.06451099726712	-0.470186063362527
GBX.DISC.PCA163	0.0880192076830732	-0.0480672268907563	0.0572869147659064	0.0453781512605042	0.0667947178871549	Basal	0.46	39.2914854596709	med	-0.203455062705623	32.2949494313325	med	0.8379821860471	0.512674447429194
GBX.DISC.PCA164	-0.0466266506602641	0.0196398559423769	0.0398079231692677	0.0196398559423769	-0.0397118847539016	LumA	0.22	39.9118046983688	med	0.282995143996835	52.2801899245131	med	-0.528551287973917	1.03918084099378
GBX.DISC.PCA165	-0.106938775510204	0.0323169267707083	-0.0540216086434574	0.081968787515006	-0.0697719087635054	LumB	0.43	44.7308088224843	med	-0.274518874216438	31.59930904408	med	0.683677383147286	-0.875738329328191
GBX.DISC.PCA166	0.0817767106842737	-0.0264585834333733	-0.202208883553421	-0.0341416566626651	-0.0632412965186074	Basal	0.43	49.0048431042441	med	0.694644519867049	70.681522630747	high	0.605727323239751	1.21776056896396
GBX.DISC.PCA167	0.0806242496998799	0.11577430972389	-0.104825930372149	-0.106170468187275	-0.0464345738295318	Basal	0.58	45.8439580546572	med	-0.370281316268348	27.9212093880471	med	0.741990646231272	0.331453299982723
GBX.DISC.PCA168	0.0165666266506603	0.133157262905162	-0.123937575030012	0.12124849939976	-0.0746698679471789	LumB	0.64	50.3766603022385	med	0.352880263529661	58.403905325978	high	-0.326681801487393	-1.78448262300523
GBX.DISC.PCA169	0.179831932773109	0.168979591836735	-0.27327731092437	0.0363505402160864	-0.122689075630252	Basal	0.79	56.481794251197	high	0.174815568909282	52.7652329826532	med	0.603439454907606	-1.111989936815
GBX.DISC.PCA17	0.0349099639855942	0.225642256902761	-0.290372148859544	0.142857142857143	-0.183097238895558	LumB	0.88	59.0846356198009	high	0.390779464429996	62.6530346004096	high	0.243665350527673	-1.13002686273506
GBX.DISC.PCA170	0.0411524609843938	0.200576230492197	-0.162833133253301	0.165714285714286	-0.243313325330132	LumB	0.84	53.8431671441847	high	0.0389632580902928	47.1421622444804	med	1.00088803755031	0.620969875593652
GBX.DISC.PCA171	-0.0532533013205282	0.130660264105642	-0.0431692677070828	0.0326050420168067	-0.00696278511404562	LumB	0.64	45.1638174002966	med	-0.0632752850945077	40.3990789232387	med	0.0952409007619127	0.501260072422614
GBX.DISC.PCA172	-0.0312605042016807	-0.392172869147659	0.26405762304922	-0.224105642256903	0.192412965186074	LumA	0.94	20.5761141168562	low	-0.466910322054447	15.1341440636822	med	0.769662647742253	1.1249840436988
GBX.DISC.PCA173	-0.157454981992797	-0.0566146458583433	0.265882352941176	-0.148139255702281	0.18453781512605	LumA	0.94	26.0673103842384	med	-0.459079178917077	18.6134202359419	med	-0.638736042193105	1.27295817479519
GBX.DISC.PCA174	-0.296422569027611	0.0840816326530612	0.18530612244898	0.106938775510204	-0.132869147659064	LumA	0.8	35.0480354998093	med	-0.322744131386716	27.5869669580467	med	0.464841175329572	0.599194792956789
GBX.DISC.PCA175	0.0448019207683073	0.10953181272509	-0.0991596638655462	0.00475390156062425	-0.148331332533013	Basal	0.55	47.1949011583363	med	-0.321767372482663	30.3869175997015	med	1.0862977813139	-1.19949855274223
GBX.DISC.PCA176	-0.194717887154862	-0.270972388955582	0.195678271308523	0.124897959183673	-0.0500840336134454	LumA	0.83	30.2145653136925	med	0.0423277489114074	39.2111833362645	med	1.89503950921428	1.045510411943
GBX.DISC.PCA177	0.235342136854742	-0.0253061224489796	-0.127875150060024	0.0103241296518607	0.0236734693877551	Basal	0.9	47.4445157463456	med	0.0350107817660205	43.83031212782	med	0.267658459522506	-2.91978946461226
GBX.DISC.PCA178	0.0307803121248499	-0.0526770708283313	0.00158463385354142	-0.0348139255702281	0.130852340936375	Basal	0.64	39.9084866345032	med	-0.0109819776603553	40.0868550620347	med	1.05895618174541	0.757011969693955
GBX.DISC.PCA179	-0.176662665066026	-0.159183673469388	0.100216086434574	0.204129651860744	-0.0480672268907563	LumB	0.85	37.2257242120754	med	0.315597229026283	52.5312287610344	med	0.428630758115297	0.0513691320509804
GBX.DISC.PCA18	0.127490996398559	0.150828331332533	-0.220072028811525	0.0409603841536615	-0.0722689075630252	Basal	0.71	53.8278495097804	high	-0.0109434481440763	44.6564650762631	med	0.589109332735664	-0.554072780589774
GBX.DISC.PCA180	0.259543817527011	0.0793757503001201	-0.306794717887155	0.0118607442977191	-0.0652581032412965	Basal	0.93	56.5423132156769	high	-0.112161697807092	40.8309043460166	med	0.195162248758531	-0.242007224347298
GBX.DISC.PCA181	-0.0112845138055222	-0.100408163265306	0.0768787515006003	-0.123073229291717	0.203937575030012	LumA	0.84	34.4030201142292	med	-0.605334268257146	14.6774215621625	med	-0.215510938349881	-1.23583912109418
GBX.DISC.PCA182	0.0575750300120048	0.110396158463385	0.0445138055222089	-0.112605042016807	0.0207923169267707	Basal	0.56	39.3526444848245	med	-0.164418579451813	34.3692973637002	med	0.436804376753007	-0.559031720638796
GBX.DISC.PCA183	0.0441296518607443	0.163889555822329	-0.136902761104442	-0.0169507803121248	-0.0340456182472989	Basal	0.75	49.1904878058329	med	0.0833006294194099	47.2579955930079	med	0.0366795434750932	0.0039206001784059304
GBX.DISC.PCA184	-0.131236494597839	-0.110588235294118	0.337527010804322	-0.0291476590636255	0.132004801920768	LumA	0.98	24.4253351185368	med	-0.575813254976354	13.4108674323547	med	-0.201488468739765	0.321866703462392
GBX.DISC.PCA185	-0.213733493397359	-0.0230972388955582	0.131236494597839	0.0887875150060024	0.0258823529411765	LumA	0.64	35.8234817220818	med	0.142785627281707	45.7445525337728	med	-1.69974637725151	0.0429382280363503
GBX.DISC.PCA186	-0.221032412965186	0.102040816326531	0.0175270108043217	0.214789915966387	-0.196542617046819	LumB	0.87	44.4433449595368	med	0.029444342611083	44.2551642093977	med	0.608666036434013	1.24617022200277
GBX.DISC.PCA187	-0.153517406962785	0.175126050420168	-0.0889795918367347	0.151596638655462	-0.293253301320528	LumB	0.78	49.2080934865617	med	0.356992725723826	58.7129777952299	high	0.264787119638061	0.252049759852185
GBX.DISC.PCA188	-0.00552220888355342	-0.0717887154861945	0.0761104441776711	-0.0348139255702281	0.0769747899159664	LumA	0.41	36.3590006996681	med	-0.224728272510657	30.588490567024	med	0.8644664529896	-1.08030937548754
GBX.DISC.PCA189	0.0714045618247299	0.0190636254501801	-0.156302521008403	0.0815846338535414	-0.0880192076830732	LumB	0.43	49.6532759126615	med	0.416223201266212	60.1233081441514	high	-0.254433181312228	-0.611529875155805
